"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"TODOS"	"VIVA"	"FUERZA"	"PHG"	"BIEN"	"VALOR"	"UNIONISTA"	"UCN"	"PC"	"AVANZA"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10142"	"4"	"9"	"22"	"2"	"376"	"98"	"53"	"2"	"5"	"61"	"2"	"1"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"21"	"8"	"0"	"259"	"259"	"1"	"0"
"10143"	"4"	"9"	"22"	"2"	"380"	"104"	"38"	"3"	"3"	"55"	"1"	"0"	"4"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"14"	"3"	"0"	"233"	"233"	"1"	"0"
"10144"	"4"	"9"	"22"	"2"	"374"	"94"	"40"	"3"	"7"	"47"	"0"	"0"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"13"	"2"	"0"	"221"	"221"	"1"	"0"
"10145"	"4"	"9"	"22"	"2"	"375"	"98"	"43"	"3"	"0"	"76"	"2"	"0"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"4"	"3"	"0"	"241"	"241"	"1"	"1"
"10146"	"4"	"9"	"22"	"2"	"380"	"98"	"77"	"2"	"4"	"65"	"1"	"0"	"0"	"23"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"12"	"6"	"0"	"291"	"291"	"1"	"0"
"10147"	"4"	"9"	"22"	"2"	"338"	"85"	"60"	"1"	"4"	"55"	"1"	"1"	"0"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"17"	"4"	"0"	"256"	"256"	"1"	"0"
"10148"	"4"	"9"	"22"	"2"	"340"	"86"	"55"	"0"	"2"	"41"	"1"	"2"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"15"	"3"	"0"	"218"	"218"	"1"	"0"
"10149"	"4"	"9"	"22"	"2"	"243"	"41"	"55"	"1"	"0"	"30"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"18"	"6"	"0"	"155"	"155"	"1"	"0"
"10150"	"4"	"9"	"22"	"2"	"242"	"35"	"59"	"1"	"1"	"33"	"3"	"2"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"8"	"4"	"0"	"152"	"152"	"1"	"0"
"10151"	"4"	"9"	"22"	"2"	"600"	"66"	"29"	"4"	"0"	"28"	"2"	"1"	"5"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"10"	"6"	"0"	"155"	"155"	"1"	"0"
"10152"	"4"	"9"	"22"	"2"	"422"	"41"	"33"	"3"	"2"	"19"	"2"	"2"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"2"	"3"	"0"	"114"	"114"	"1"	"0"
"10153"	"4"	"9"	"22"	"2"	"422"	"23"	"11"	"3"	"1"	"12"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"53"	"53"	"1"	"1"	"0"	"55"	"55"	"1"	"0"
