"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"CREO"	"CONVERGENCIA"	"BIEN"	"SEMILLA"	"VALOR"	"UNIONISTA"	"PODEMOS"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17542"	"4"	"17"	"1"	"2"	"284"	"26"	"56"	"18"	"5"	"2"	"0"	"0"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"116"	"116"	"1"	"1"	"0"	"118"	"118"	"1"	"0"
"17543"	"4"	"17"	"1"	"2"	"376"	"46"	"110"	"32"	"6"	"6"	"2"	"1"	"1"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"17"	"7"	"0"	"240"	"240"	"1"	"0"
"17544"	"4"	"17"	"1"	"2"	"376"	"46"	"94"	"39"	"2"	"9"	"4"	"5"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"11"	"2"	"0"	"223"	"223"	"1"	"0"
"17545"	"4"	"17"	"1"	"2"	"373"	"44"	"92"	"39"	"8"	"7"	"2"	"1"	"0"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"10"	"5"	"0"	"222"	"222"	"1"	"0"
"17546"	"4"	"17"	"1"	"2"	"376"	"54"	"90"	"11"	"7"	"9"	"3"	"1"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"5"	"5"	"10"	"196"	"196"	"1"	"0"
"17547"	"4"	"17"	"1"	"2"	"376"	"54"	"97"	"33"	"3"	"13"	"2"	"1"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"7"	"15"	"0"	"233"	"233"	"1"	"0"
"17548"	"4"	"17"	"1"	"2"	"376"	"51"	"115"	"26"	"4"	"0"	"1"	"1"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"8"	"10"	"6"	"226"	"226"	"1"	"0"
"17549"	"4"	"17"	"1"	"2"	"373"	"78"	"75"	"24"	"2"	"6"	"1"	"3"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"11"	"8"	"0"	"216"	"216"	"1"	"0"
"17550"	"4"	"17"	"1"	"2"	"380"	"45"	"85"	"17"	"3"	"9"	"0"	"1"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"8"	"8"	"0"	"184"	"184"	"1"	"0"
"17551"	"4"	"17"	"1"	"2"	"302"	"31"	"89"	"21"	"2"	"6"	"5"	"1"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"4"	"0"	"0"	"166"	"166"	"1"	"0"
"17552"	"4"	"17"	"1"	"2"	"302"	"43"	"85"	"24"	"2"	"8"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"3"	"2"	"0"	"172"	"172"	"1"	"0"
"17553"	"4"	"17"	"1"	"2"	"380"	"77"	"84"	"50"	"2"	"3"	"1"	"3"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"19"	"4"	"1"	"255"	"255"	"1"	"1"
"17554"	"4"	"17"	"1"	"2"	"376"	"67"	"93"	"47"	"6"	"4"	"2"	"5"	"1"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"10"	"5"	"0"	"254"	"254"	"1"	"0"
"17555"	"4"	"17"	"1"	"2"	"376"	"58"	"94"	"43"	"8"	"1"	"8"	"0"	"3"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"3"	"0"	"235"	"235"	"1"	"0"
"17556"	"4"	"17"	"1"	"2"	"372"	"60"	"79"	"52"	"6"	"3"	"7"	"0"	"2"	"0"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"17"	"7"	"0"	"251"	"251"	"1"	"0"
"17557"	"4"	"17"	"1"	"2"	"376"	"86"	"81"	"36"	"5"	"3"	"2"	"2"	"3"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"5"	"0"	"252"	"252"	"1"	"1"
"17558"	"4"	"17"	"1"	"2"	"376"	"76"	"87"	"53"	"3"	"5"	"3"	"1"	"4"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"4"	"0"	"262"	"262"	"1"	"0"
"17559"	"4"	"17"	"1"	"2"	"376"	"70"	"85"	"53"	"5"	"1"	"1"	"3"	"3"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"6"	"7"	"0"	"248"	"248"	"1"	"0"
"17560"	"4"	"17"	"1"	"2"	"376"	"61"	"73"	"41"	"5"	"0"	"4"	"0"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"14"	"8"	"0"	"217"	"217"	"1"	"0"
"17561"	"4"	"17"	"1"	"2"	"380"	"67"	"53"	"37"	"11"	"2"	"3"	"0"	"4"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"7"	"4"	"11"	"199"	"199"	"1"	"0"
"17562"	"4"	"17"	"1"	"2"	"380"	"74"	"86"	"46"	"7"	"1"	"2"	"1"	"2"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"3"	"3"	"0"	"235"	"235"	"1"	"0"
"17563"	"4"	"17"	"1"	"2"	"273"	"56"	"86"	"40"	"1"	"0"	"4"	"1"	"2"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"1"	"0"	"0"	"207"	"207"	"1"	"0"
"17564"	"4"	"17"	"1"	"2"	"273"	"65"	"58"	"25"	"3"	"1"	"1"	"1"	"1"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"6"	"6"	"0"	"177"	"177"	"1"	"1"
"17565"	"4"	"17"	"1"	"2"	"233"	"11"	"11"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"30"	"30"	"2"	"2"	"0"	"34"	"34"	"1"	"0"
"17566"	"4"	"17"	"1"	"2"	"233"	"8"	"15"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"32"	"32"	"4"	"1"	"0"	"37"	"37"	"1"	"0"
"17567"	"4"	"17"	"1"	"2"	"176"	"15"	"57"	"3"	"2"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"17"	"3"	"0"	"110"	"110"	"1"	"0"
"17568"	"4"	"17"	"1"	"2"	"600"	"33"	"67"	"52"	"5"	"9"	"8"	"1"	"1"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"18"	"6"	"0"	"213"	"213"	"1"	"0"
"17569"	"4"	"17"	"1"	"2"	"600"	"46"	"92"	"67"	"2"	"0"	"13"	"4"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"8"	"4"	"4"	"245"	"245"	"1"	"0"
"17570"	"4"	"17"	"1"	"2"	"346"	"25"	"46"	"27"	"1"	"1"	"2"	"3"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"11"	"3"	"0"	"124"	"124"	"1"	"0"
"17571"	"4"	"17"	"1"	"2"	"357"	"15"	"18"	"20"	"2"	"1"	"0"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"62"	"0"	"1"	"0"	"63"	"63"	"1"	"0"
